Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK,Minimal Network,Network
855,2.212417134933987,2.142835377639276,2.0912381655064802,2.181174692002147,1.9341343202277927,2.208227632193486,,
856,2.2121107621557456,2.1424328810652797,2.0910884130440484,2.1808340154942516,1.9340150299451695,2.2079602258165267,,
857,2.211298414360375,2.142104633592308,2.0906858939459396,2.1807031062180244,1.9336911401034653,2.207247631803564,,
858,2.2110152039136417,2.1420287659553883,2.090275108284831,2.1804701826720123,1.9334879505641545,2.20707386144672,,
859,2.2108751937401556,2.14139815083369,2.0898034855952363,2.1802609646827436,1.933083798933057,2.2069387121700577,,
860,2.21070747121681,2.141069727083653,2.0895779560877132,2.180099915690874,1.9325747588342304,2.206810836839438,,
861,2.210576286380633,2.140490634541003,2.089291543710656,2.179643373551234,1.932396193452731,2.206651446917626,,
862,2.210373128662833,2.1403397458877413,2.088940774151205,2.179478758478326,1.9323303529927853,2.20663316042585,,
863,2.210103551816402,2.1398524540367765,2.0885237877876848,2.179132397723548,1.9319122348053737,2.206450376859768,,
864,2.209969423506385,2.139577877249854,2.088359625573676,2.1789028297269986,1.9316758075515783,2.206289143925759,,
865,2.20951277311126,2.139159513264751,2.088210021607076,2.1788166758848138,1.9314889600355463,2.2062142876872524,,
866,2.209196947720483,2.138998241731142,2.08800957158605,2.17878152653515,1.9311736223840001,2.2061175988416366,,
867,2.2091160576994278,2.1388035983674842,2.087757256850237,2.178357126074586,1.9309079560882172,2.205906993288575,,
868,2.2088451643281375,2.1387819175418166,2.0874353520017213,2.1779987407780967,1.9308510152608407,2.2058492545475277,,
869,2.2085517090689866,2.1381306330793812,2.087269229305724,2.1778623055853106,1.9301019874975283,2.20565306184787,,
870,2.2083119420448396,2.1380152005654343,2.0868329481418644,2.177562458743343,1.9294361031795473,2.2055163637712534,,
871,2.2080279628415975,2.13776913193135,2.0860237589549184,2.1771821999102294,1.9290305351225419,2.205231636653039,,
872,2.2076822989551608,2.1376029187269507,2.0857949292705316,2.176869838400013,1.9288852391273037,2.205009814824036,,
873,2.2076221480930127,2.137524089352778,2.0857052848534066,2.1767350935016787,1.9285905055732944,2.204796951559591,,
874,2.2074658324565526,2.1373416990312153,2.085332905531169,2.1765030434432227,1.928098198093352,2.2044735429315336,,
875,2.207256675539503,2.1370628029949907,2.085191675002919,2.176308253229839,1.9278316926277212,2.204353296154157,,
876,2.2067277767376576,2.136766466356708,2.084896140532343,2.1762095741832144,1.927104989652508,2.2040958164742124,,
877,2.206386100469841,2.1365971103242942,2.0846391201293337,2.176105695320499,1.927104989652508,2.203932766803914,,
878,2.2061506765286487,2.1365183420263647,2.0844400484475853,2.176031363641565,1.9268918065987244,2.2038966928239203,,
